engine,suite,test,metric,unit,value,ts,run_id,round,velox_ver,dd_ver
dd,net,pubport_h2c_p4,gbits,gbps,25.81,1787648673.471766,2026-08-24,3,1.2.0,4.88.0
dd,net,c2host,gbits,gbps,26.86,1787648681.918991,2026-08-24,3,1.2.0,4.88.0
dd,net,c2c,gbits,gbps,96.37,1787648690.52015,2026-08-24,3,1.2.0,4.88.0
dd,io,cp_out,mbps,MBps,224.7,1787648695.8041651,2026-08-24,3,1.2.0,4.88.0
dd,io,cp_in,mbps,MBps,156.4,1787648702.544252,2026-08-24,3,1.2.0,4.88.0
dd,fs,bind_write,mbps,MBps,1269.1,1787648703.974632,2026-08-24,3,1.2.0,4.88.0
dd,fs,bind_read,mbps,MBps,2249.8,1787648704.63329,2026-08-24,3,1.2.0,4.88.0
dd,fs,vol_write,mbps,MBps,1869.7,1787648705.418886,2026-08-24,3,1.2.0,4.88.0
dd,fs,overlay_write,mbps,MBps,1722.0,1787648706.273568,2026-08-24,3,1.2.0,4.88.0
dd,fs,smallfiles_bind,extract_s,s,2.536,1787648709.030881,2026-08-24,3,1.2.0,4.88.0
dd,image,load_local,total_s,s,6.303,1787648719.3068779,2026-08-24,3,1.2.0,4.88.0
dd,image,load_local,size_mb,MB,381,1787648719.436564,2026-08-24,3,1.2.0,4.88.0
dd,realworld,pgbench_init,load_s,s,2.376,1787648724.549854,2026-08-24,3,1.2.0,4.88.0
dd,realworld,pgbench_tps,tps,tps,13031.076919,1787648754.7028108,2026-08-24,3,1.2.0,4.88.0
dd,build,cold,total_s,s,1.794,1787648757.588725,2026-08-24,3,1.2.0,4.88.0
dd,build,cached_noop,total_s,s,0.235,1787648758.0362182,2026-08-24,3,1.2.0,4.88.0
dd,build,incremental,total_s,s,1.564,1787648759.800802,2026-08-24,3,1.2.0,4.88.0
dd,build,context_xfer,mbps,MBps,95.9,1787648765.417557,2026-08-24,3,1.2.0,4.88.0
dd,compose,up_ready,total_s,s,3.544,1787648786.778819,2026-08-24,3,1.2.0,4.88.0
dd,compose,down,total_s,s,3.494,1787648790.4732969,2026-08-24,3,1.2.0,4.88.0
dd,emul,amd64_sha,total_s,s,2.081,1787648812.1085088,2026-08-24,3,1.2.0,4.88.0
dd,emul,native_sha,total_s,s,0.434,1787648812.177213,2026-08-24,3,1.2.0,4.88.0
dd,emul,amd64_tax,ratio,x,4.79,1787648812.307623,2026-08-24,3,1.2.0,4.88.0
dd,quality,slept,flag,n,0,1787648814.820611,2026-08-24,3,1.2.0,4.88.0
dd,launch,run_true,median_s,s,0.13161113914,1787648916.3036458,2026-08-24,4,1.2.0,4.88.0
dd,launch,churn30_per,per_s,s,0.138,1787648920.640243,2026-08-24,4,1.2.0,4.88.0
dd,launch,parallel20_total,total_s,s,30.439,1787648951.280498,2026-08-24,4,1.2.0,4.88.0
dd,net,pubport_h2c_p1,gbits,gbps,12.66,1787648960.5638871,2026-08-24,4,1.2.0,4.88.0
dd,net,pubport_h2c_p4,gbits,gbps,25.51,1787648968.7086232,2026-08-24,4,1.2.0,4.88.0
dd,net,c2host,gbits,gbps,26.29,1787648977.156014,2026-08-24,4,1.2.0,4.88.0
